abbreviation,expansion
AEC,Accessible Education Center
A.S. or AS,Associated Students
BBC,Boccardo Business Complex
BIT,Behavioral Intervention Team
BT,Business Tower
CAPS,Counseling and Psychological Services
CL,Clark Hall
"CVA, CVB, CVC, CV2","Campus Village housing buildings A, B, C and 2"
DBH,Dwight Bentel Hall
DH,Duncan Hall
DMH,Dudley Moorhead Hall
EOP,Educational Opportunity Program
FASO,Financial Aid and Scholarship Office
GE,General Education
HGH,Hugh Gillis Hall
IRC,Instructional Resource Center
ISSS,International Student and Scholar Services
JWH,Joe West Hall
MH,MacQuarrie Hall
MLK,"Dr. Martin Luther King, Jr. Library"
MOSAIC,MOSAIC Cross Cultural Center
SH,Sweeney Hall
"SPXC, SPXE",Spartan Complex Central and Spartan Complex East
SRAC,Spartan Recreation and Aquatic Center
SSC,Student Services Center
SU,Student Union
SVP,Spartan Village on the Paseo
SWC,Student Wellness Center
TH,Tower Hall
Tower Card,the SJSU student ID card
UPD,University Police Department
WSH,Washburn Hall
WSQ,Washington Square Hall
YUH,Yoshihiro Uchida Hall
