url,section,title,static_html,body_text_chars
https://www.sjsu.edu/wellness/access-services/counseling/index.php,counseling-psych,Counseling & Psychological Services | Student Wellness Center,yes,24354
https://www.sjsu.edu/wellness/access-services/emergency-crisis.php,counseling-psych,Emergency | Student Wellness Center,yes,1167
https://www.sjsu.edu/wellness/access-services/make-an-appointment.php,counseling-psych,Make an Appointment | Student Wellness Center,yes,1010
https://www.sjsu.edu/wellness/access-services/survivor-advocacy-services.php,counseling-psych,SJSU Survivor Advocacy Services | Student Wellness Center,yes,2147
https://www.sjsu.edu/wellness/grow-your-wellbeing/index.php,counseling-psych,Grow Your Well-Being | Student Wellness Center,yes,1240
https://www.sjsu.edu/wellness/index.php,counseling-psych,Student Wellness Center,yes,1983
https://www.sjsu.edu/wellness/learn-about-us/contact-us.php,counseling-psych,Contact Us | Student Wellness Center,yes,1235
https://www.sjsu.edu/wellness/access-services/health-services.php,health-services,Health Services | Student Wellness Center,yes,6528
https://www.sjsu.edu/wellness/access-services/immunizations.php,health-services,Immunization Requirements - Student Wellness Center | Student Wellness Center,yes,7786
https://www.sjsu.edu/wellness/access-services/pharmacy.php,health-services,Pharmacy | Student Wellness Center,yes,3114
https://www.sjsu.edu/wellness/my-appointment/confidentiality-patient-rights.php,health-services,Confidentiality and Patient Rights | Student Wellness Center,yes,10814
https://www.sjsu.edu/faso/about/announcements-deadlines.php,financial-aid,Announcements and Deadlines | Financial Aid and Scholarship Office,yes,747
https://www.sjsu.edu/faso/about/contact-us.php,financial-aid,Contact Us | Financial Aid and Scholarship Office | SJSU | Financial Aid and Scholarship Office,yes,2348
https://www.sjsu.edu/faso/about/faq.php,financial-aid,Frequently Asked Questions (FAQ) | Financial Aid and Scholarship Office,yes,2686
https://www.sjsu.edu/faso/applying/california-dream-act.php,financial-aid,California Dream Act | Financial Aid and Scholarship Office,yes,6223
https://www.sjsu.edu/faso/applying/how-to-apply.php,financial-aid,How to Apply for Financial Aid | Financial Aid and Scholarship Office,yes,3397
https://www.sjsu.edu/faso/applying/special-circumstances.php,financial-aid,Special Circumstances | Financial Aid and Scholarship Office,yes,3244
https://www.sjsu.edu/faso/forms-resources/financial-aid-forms.php,financial-aid,Financial Aid Forms | Financial Aid and Scholarship Office,yes,1009
https://www.sjsu.edu/faso/index.php,financial-aid,Financial Aid and Scholarships | SJSU | Financial Aid and Scholarship Office,yes,1697
https://www.sjsu.edu/faso/process/cost-of-attendance.php,financial-aid,Cost of Attendance | Financial Aid and Scholarship Office,yes,9306
https://www.sjsu.edu/faso/process/eligibility-requirements.php,financial-aid,Eligibility Requirements | Financial Aid and Scholarship Office,yes,2017
https://www.sjsu.edu/faso/process/enrollment-requirements.php,financial-aid,Enrollment Requirements | Financial Aid and Scholarship Office,yes,1346
https://www.sjsu.edu/faso/process/seven-steps.php,financial-aid,Seven Steps to Financial Aid | Financial Aid and Scholarship Office,yes,5422
https://www.sjsu.edu/faso/process/tuition-fee-deferral.php,financial-aid,Tuition Fee Deferral | Financial Aid and Scholarship Office,yes,2379
https://www.sjsu.edu/faso/process/verification.php,financial-aid,Verification | Financial Aid and Scholarship Office,yes,3304
https://www.sjsu.edu/faso/types-of-aid/grants/cal-grant.php,financial-aid,Cal Grant | Financial Aid and Scholarship Office,yes,2769
https://www.sjsu.edu/faso/types-of-aid/grants/index.php,financial-aid,Grants | Financial Aid and Scholarship Office,yes,1031
https://www.sjsu.edu/faso/types-of-aid/grants/pell-grant.php,financial-aid,Federal Pell Grant | Financial Aid and Scholarship Office,yes,1294
https://www.sjsu.edu/faso/types-of-aid/index.php,financial-aid,Types of Aid | Financial Aid and Scholarship Office,yes,1898
https://www.sjsu.edu/faso/types-of-aid/scholarships/index.php,financial-aid,Scholarships | Financial Aid and Scholarship Office,yes,3184
https://www.sjsu.edu/faso/types-of-aid/scholarships/tips-on-applying.php,financial-aid,Tips on Applying | Financial Aid and Scholarship Office,yes,3109
https://www.sjsu.edu/bursar/fees-due-dates/index.php,bursar-billing,Fees and Due Dates | Bursar's Office,yes,1460
https://www.sjsu.edu/bursar/how-we-can-help/contact-us.php,bursar-billing,Contact Us | Bursar's Office,yes,1508
https://www.sjsu.edu/bursar/index.php,bursar-billing,"Bursar's Office | Tuition, Fees & Student Payments | Bursar's Office",yes,1465
https://www.sjsu.edu/bursar/our-services/spartan-bookstore-voucher.php,bursar-billing,Spartan Bookstore Deferred Payment Program | Bursar's Office,yes,1091
https://www.sjsu.edu/bursar/payment-refunds/installment-payment-plan.php,bursar-billing,Installment Payment Plan | Bursar's Office,yes,5016
https://www.sjsu.edu/bursar/payment-refunds/refunds.php,bursar-billing,Electronic Refunds (Direct Deposit) | Bursar's Office,yes,517
https://www.sjsu.edu/peerconnections/about/appointment.php,tutoring-academic-support,Make an Appointment | Peer Connections,yes,2277
https://www.sjsu.edu/peerconnections/index.php,tutoring-academic-support,Peer Connections,yes,1045
https://www.sjsu.edu/peerconnections/programs/learning-assistance-program.php,tutoring-academic-support,Learning Assistant Program | Peer Connections,yes,2791
https://www.sjsu.edu/peerconnections/programs/mentoring.php,tutoring-academic-support,Academic Peer Mentoring | Peer Connections,yes,2182
https://www.sjsu.edu/peerconnections/programs/supplemental-instruction.php,tutoring-academic-support,Supplemental Instruction | Peer Connections,yes,2126
https://www.sjsu.edu/peerconnections/programs/tutoring.php,tutoring-academic-support,Tutoring | Peer Connections,yes,6198
https://www.sjsu.edu/tutoring/academic-success-workshops/index.php,tutoring-academic-support,Academic Success Workshops | Tutoring Hub,yes,1173
https://www.sjsu.edu/tutoring/index.php,tutoring-academic-support,Tutoring Hub,yes,464
https://www.sjsu.edu/writingcenter/about-us/contact-us.php,tutoring-academic-support,Contact Us | Writing Center,yes,462
https://www.sjsu.edu/writingcenter/index.php,tutoring-academic-support,Writing Center,yes,1507
https://www.sjsu.edu/writingcenter/resources/handouts.php,tutoring-academic-support,Homegrown Handouts | Writing Center,yes,6648
https://www.sjsu.edu/writingcenter/tutoring/index.php,tutoring-academic-support,Tutoring Services | Writing Center,yes,2551
https://www.sjsu.edu/advising/about-us/index.php,academic-advising,About Us | Undergraduate Advising and Success,yes,9569
https://www.sjsu.edu/advising/academic-advising/fsr.php,academic-advising,FSR - Former Student Returning | Undergraduate Advising and Success,yes,450
https://www.sjsu.edu/advising/academic-advising/petitions.php,academic-advising,Petitions | Undergraduate Advising and Success,yes,2474
https://www.sjsu.edu/advising/academic-advising/student-success-centers.php,academic-advising,Student Success Centers | Undergraduate Advising and Success,yes,969
https://www.sjsu.edu/advising/index.php,academic-advising,Undergraduate Advising and Success,yes,1571
https://www.sjsu.edu/advising/peer-connections/index.php,academic-advising,Peer Connections | Undergraduate Advising and Success,yes,2082
https://www.sjsu.edu/ue/student-petitions/drops/index.php,academic-advising,Late Drops and Semester Withdrawals | Undergraduate Education,yes,1571
https://www.sjsu.edu/ue/student-petitions/index.php,academic-advising,Student Petitions | Undergraduate Education,yes,26421
https://careercenter.sjsu.edu/,career-services,Career Center San José State University,yes,1101
https://careercenter.sjsu.edu/about/,career-services,About the Career Center – Career Center San José State University,yes,3363
https://careercenter.sjsu.edu/channels/student/,career-services,Students – Career Center San José State University,yes,7435
https://careercenter.sjsu.edu/events/,career-services,Events – Career Center San José State University,yes,2581
https://careercenter.sjsu.edu/resources/career-closet/,career-services,Spartan Career Closet – Career Center San José State University,yes,1756
https://careercenter.sjsu.edu/resources/career-counseling-appointments/,career-services,Career Counseling & Appointments – Career Center San José State University,yes,2449
https://careercenter.sjsu.edu/resources/sjsu-handshake/,career-services,SJSU Handshake – Career Center San José State University,yes,3252
https://www.sjsu.edu/sjsucares/about/contact-us.php,basic-needs,Contact Us | SJSU Cares,yes,1451
https://www.sjsu.edu/sjsucares/about/faq.php,basic-needs,FAQ | SJSU Cares,yes,4139
https://www.sjsu.edu/sjsucares/get-assistance/case-management/index.php,basic-needs,Well-Being Case Management | SJSU Cares,yes,999
https://www.sjsu.edu/sjsucares/get-assistance/financial-assistance/crisis-grant.php,basic-needs,Crisis Grant Assistance | SJSU Cares,yes,2730
https://www.sjsu.edu/sjsucares/get-assistance/financial-assistance/igrad.php,basic-needs,iGrad Financial Literacy | SJSU Cares,yes,1037
https://www.sjsu.edu/sjsucares/get-assistance/financial-assistance/index.php,basic-needs,Financial Assistance | SJSU Cares,yes,1133
https://www.sjsu.edu/sjsucares/get-assistance/food-assistance/calfresh.php,basic-needs,CalFresh Food | SJSU Cares,yes,3882
https://www.sjsu.edu/sjsucares/get-assistance/food-assistance/index.php,basic-needs,Food Assistance | SJSU Cares,yes,1042
https://www.sjsu.edu/sjsucares/get-assistance/food-assistance/spartan-food-pantry.php,basic-needs,Spartan Food Pantry | SJSU Cares,yes,4498
https://www.sjsu.edu/sjsucares/get-assistance/housing-assistance/housing-search-assistance.php,basic-needs,Housing Search Assistance | SJSU Cares,yes,1601
https://www.sjsu.edu/sjsucares/get-assistance/housing-assistance/index.php,basic-needs,Housing Assistance | SJSU Cares,yes,1490
https://www.sjsu.edu/sjsucares/get-assistance/housing-assistance/rapid-rehousing-program.php,basic-needs,Rapid Rehousing Program | SJSU Cares,yes,1341
https://www.sjsu.edu/sjsucares/get-assistance/housing-assistance/short-term-emergency-housing.php,basic-needs,Short-Term Emergency Housing | SJSU Cares,yes,1115
https://www.sjsu.edu/sjsucares/get-assistance/index.php,basic-needs,Get Assistance  | SJSU Cares,yes,1838
https://www.sjsu.edu/sjsucares/index.php,basic-needs,SJSU Cares,yes,1406
https://www.sjsu.edu/sjsucares/resources/parenting-students/index.php,basic-needs,Parenting Student Resources | SJSU Cares,yes,3042
https://www.sjsu.edu/sjsucares/resources/public-benefits.php,basic-needs,Santa Clara County Public Benefits Programs | SJSU Cares,yes,1740
https://www.sjsu.edu/housing/about-us/contact-numbers.php,housing,Contact Numbers | University Housing Services,yes,662
https://www.sjsu.edu/housing/apply-for-housing/housing-accommodations.php,housing,Housing Accommodations | University Housing Services,yes,560
https://www.sjsu.edu/housing/apply-for-housing/index.php,housing,Apply for Housing - University Housing | University Housing Services,yes,2071
https://www.sjsu.edu/housing/housing-options/index.php,housing,Student Housing Options - University Housing | University Housing Services,yes,1576
https://www.sjsu.edu/housing/index.php,housing,University Housing | On-Campus Housing | University Housing Services,yes,7463
https://www.sjsu.edu/registrar/about-us/contact-us.php,registrar-enrollment,Contact us | Office of the Registrar,yes,563
https://www.sjsu.edu/registrar/academic-records/change-of-major-minor.php,registrar-enrollment,"Add or Change a Major, Minor, or Certificate | Office of the Registrar",yes,741
https://www.sjsu.edu/registrar/academic-records/reinstatement.php,registrar-enrollment,Reinstatement (Returning from Disqualification) | Office of the Registrar,yes,2871
https://www.sjsu.edu/registrar/academic-records/transcripts.php,registrar-enrollment,Transcripts | Office of the Registrar,yes,656
https://www.sjsu.edu/registrar/academic-records/verify-enrollment.php,registrar-enrollment,Verification of Enrollment or Degree | Office of the Registrar,yes,1573
https://www.sjsu.edu/registrar/calendar/index.php,registrar-enrollment,Registration Calendars - Registrar | Office of the Registrar,yes,457
https://www.sjsu.edu/registrar/index.php,registrar-enrollment,Registrar | Office of the Registrar,yes,1119
https://www.sjsu.edu/registrar/registration/enrollment-limit-waitlist.php,registrar-enrollment,Enrollment Limits and Waitlist | Office of the Registrar,yes,4112
https://www.sjsu.edu/registrar/registration/grading-option.php,registrar-enrollment,Grading Options | Office of the Registrar,yes,1029
https://www.sjsu.edu/registrar/registration/index.php,registrar-enrollment,Registration | Office of the Registrar,yes,796
https://www.sjsu.edu/registrar/registration/leave-of-absence.php,registrar-enrollment,Leave of Absence and Withdrawal | Office of the Registrar,yes,5537
https://www.sjsu.edu/registrar/registration/registration-basics.php,registrar-enrollment,Registration Basics | Office of the Registrar,yes,5235
https://www.sjsu.edu/registrar/registration/registration-holds.php,registrar-enrollment,Registration Holds | Office of the Registrar,yes,2918
https://www.sjsu.edu/registrar/registration/repeat-grade-forgiveness.php,registrar-enrollment,Repeats and Grade Forgiveness - Registrar | Office of the Registrar,yes,2701
https://www.sjsu.edu/isss/about/contact.php,international-isss,International Student Advising - Contact Information,yes,3892
https://www.sjsu.edu/isss/current-students/employment/cpt.php,international-isss,Curricular Practical Training,yes,15237
https://www.sjsu.edu/isss/current-students/employment/economic-hardship.php,international-isss,Economic Hardship,yes,7417
https://www.sjsu.edu/isss/current-students/employment/index.php,international-isss,Employment for International Students | SJSU ISSS,yes,4160
https://www.sjsu.edu/isss/current-students/employment/pre-opt.php,international-isss,Pre Completion OPT,yes,16923
https://www.sjsu.edu/isss/current-students/f1-status/course-load.php,international-isss,Reduced Course Load - International Student and Scholar Services,yes,5409
https://www.sjsu.edu/isss/current-students/f1-status/i20-extension.php,international-isss,I-20 Extension,yes,3872
https://www.sjsu.edu/isss/current-students/f1-status/index.php,international-isss,Maintaining F-1 Status,yes,3855
https://www.sjsu.edu/isss/current-students/f1-status/travel.php,international-isss,Travel and Re-Entry to the United States,yes,7878
https://www.sjsu.edu/isss/current-students/index.php,international-isss,Current F-1 Students,yes,921
https://www.sjsu.edu/isss/index.php,international-isss,International Student and Scholar Services,yes,2628
https://www.sjsu.edu/aec/about/index.php,accessibility-aec,About | Accessible Education Center,yes,1621
https://www.sjsu.edu/aec/accomms/index.php,accessibility-aec,Accommodations | Accessible Education Center,yes,729
https://www.sjsu.edu/aec/accomms/testing/index.php,accessibility-aec,Testing Accommodations | Accessible Education Center,yes,5317
